Node,Community,Name
209,1.0,T_16119_0_1
213,1.0,T_16119_2_3
226,3.0,T_16119_6_2
238,3.0,T_16119_10_5
239,0.0,T_16119_10_6
242,2.0,T_16119_11_3
249,4.0,T_16119_13_5
250,4.0,T_16119_13_6
251,0.0,T_16119_13_7
258,2.0,T_16119_15_2
262,0.0,T_16119_16_2
264,0.0,T_16119_19_1
273,2.0,T_18116_1_1
278,3.0,T_18116_6_1
285,4.0,T_150304_2_1_b
286,4.0,T_150304_2_1_c
288,0.0,T_150304_2_3_d
290,3.0,T_150304_4_1
293,3.0,T_150317_1_1_full_tracing
296,2.0,T_150317_2_2b_full_tracing
297,0.0,T_150317_3_1_full_tracing
303,1.0,T_150324_fixed_2_3_full_tracing
305,4.0,T_150324_fixed_2_5_full_tracing
306,1.0,T_150324_fixed_3_2_full_tracing
315,1.0,T_150324_fixed_9_2_full_tracing
316,0.0,T_150324_fixed_10_2_full_tracing
318,0.0,T_150324_fixed_11_3a_full_tracing
328,1.0,T_150324_fixed_16_3_full_tracing
333,4.0,T_150324_fixed_20_1_full_tracing
340,2.0,T_150407_7_2_full_tracing
344,3.0,T_150407_12_2_full_tracing
345,3.0,T_150508_fixed_55m_1_1_full_tracing
346,3.0,T_150508_fixed_55m_6_1_full_tracing
353,0.0,T_150518_1_1b_full_tracing
383,4.0,T_150609_354_fixed_3_1a_full_tracing
396,0.0,T_150616_fixed_354_3_2_full_tracing
400,3.0,T_150707_1_4b_full
438,1.0,T_150729_4_2a_full_tracing
445,3.0,T_150827_6_2
448,1.0,T_150901_1_4_full_tracing
459,0.0,T_151110_1_1
462,0.0,T_151110_2_4
463,0.0,T_151110_3_1
464,1.0,T_151110_3_2
470,4.0,T_151110_5_3
471,4.0,T_151110_7_1
475,0.0,T_151110_7_5
477,0.0,T_151113_2_1
479,4.0,T_151113_4_2
481,4.0,T_151113_5_1_corrected
483,0.0,T_151113_5_4
484,0.0,T_151113_5_5
486,2.0,T_151113_7_2
489,0.0,T_151124_1_4
493,1.0,T_151124_2_2
494,0.0,T_151124_2_3
498,0.0,T_151130_1_3
499,0.0,T_151130_2_2
501,2.0,T_151130_3_2
509,2.0,T_151130_5_4
511,4.0,T_151130_6_3
523,0.0,T_151130_11_1
529,1.0,T_151130_14_2_complemented
534,0.0,T_151208_7_1
537,3.0,T_151208_9_2
540,0.0,T_151208_12_1
543,4.0,T_151208_15_1
546,1.0,T_151208_17_2
548,1.0,T_151208_20_1
550,4.0,T_151208_21_1
562,0.0,T_160416_9_2
566,2.0,T_160426_5_2
580,3.0,T_160502_7_3
585,4.0,T_160502_9_2
586,3.0,T_160502_9_3_complemented
591,0.0,T_160502_9_8_complemented
595,4.0,T_160502_16_1
600,4.0,T_160510_Image_3_Stitch_1
604,0.0,T_160518_2_2
607,4.0,T_160518_6_1_corrected
611,0.0,T_160518_6_5
615,1.0,T_160518_8_4
618,2.0,T_160518_9_1
619,3.0,T_160518_10_1
624,2.0,T_160518_12_2
633,0.0,T_160520_2_1
635,2.0,T_160520_3_1
636,3.0,T_160520_3_2
638,0.0,T_160520_4_3
639,4.0,T_160520_5_1
641,4.0,T_160520_5_3
643,3.0,T_160520_9_1
654,0.0,T_160520_10_5
666,1.0,T_160524_4_2
673,4.0,T_160524_7_1
675,1.0,T_160524_7_3
680,1.0,T_160524_9_1
681,0.0,T_160524_12_1
686,3.0,T_160527_1_2
687,3.0,T_160527_1_3
691,2.0,T_160527_5_1
695,0.0,T_160527_5_5
702,0.0,T_160527_8_1
704,4.0,T_160527_10_1
705,2.0,T_160527_11_1
707,1.0,T_160527_12_2
713,2.0,T_160527_14_1
732,4.0,T_160607_2_3
733,4.0,T_160607_2_4
735,4.0,T_160607_6_1
737,4.0,T_160607_6_3
740,2.0,T_160607_7_1
743,1.0,T_160607_7_4
749,3.0,T_160607_11_2
