Node,Community,Name
0,1.0,20150327_1013_BGUG_HuC_ltRFP_d5_F2
1,1.0,20150402_1013_BGUG_HuC_ltRFP_d5_F3
2,1.0,20160512_1013_BGUG_HuC_ltRFP_d6_F6_Neuron2
3,1.0,20160519_1013_BGUG_HuC_ltRFP_d6_F1
4,1.0,20160519_1013_BGUG_HuC_ltRFP_d6_F6
5,1.0,20160526_1013_BGUG_HuC_ltRFP_d6_F2_Neuron1
6,0.0,20160526_1013_BGUG_HuC_ltRFP_d6_F2_Neuron2
7,1.0,20160526_1013_BGUG_HuC_ltRFP_d6_F4
8,0.0,20160601_1013_BGUG_HuC_ltRFP_d6_F1
9,1.0,20160616_1013_BGUG_HuC_ltRFP_d7_F1
10,1.0,20160623_1013_BGUG_HuC_ltRFP_d6_F4
11,1.0,20160720_1013_BGUG_HuC_ltRFP_d6_F3
12,0.0,20160720_1013_BGUG_HuC_ltRFP_d6_F4
13,1.0,20160720_1013_BGUG_HuC_ltRFP_d6_F8_Neuron1
14,1.0,20160726_1013_BGUG_HuC_ltRFP_d6_F1
15,2.0,20160726_1013_BGUG_HuC_ltRFP_d6_F2
16,1.0,20160726_1013_BGUG_HuC_ltRFP_d6_F3
17,1.0,20160906_1013_BGUG_HuC_ltRFP_d5_F1
18,1.0,20160906_1013_BGUG_HuC_ltRFP_d5_F2
19,1.0,20160906_1013_BGUG_HuC_ltRFP_d5_F7
20,1.0,20160907_1013_BGUG_HuC_ltRFP_d6_F2_Neuron2
21,1.0,20160907_1013_BGUG_HuC_ltRFP_d6_F10_Neuron2
22,1.0,20160908_1013_BGUG_HuC_ltRFP_d7_F2
23,1.0,20160908_1013_BGUG_HuC_ltRFP_d7_F5
24,1.0,20160912_1013_BGUG_HuC_ltRFP_d6_F3
25,1.0,20160912_1013_BGUG_HuC_ltRFP_d6_F7_Neuron1
26,1.0,20160914_1013_BGUG_HuC_ltRFP_d5_F1
27,1.0,20160916_1013_BGUG_HuC_ltRFP_d7_F5
28,2.0,20160916_1013_BGUG_HuC_ltRFP_d7_F6
29,1.0,20160916_1013_BGUG_HuC_ltRFP_d7_F9
30,1.0,20160919_1013_BGUG_HuC_ltRFP_d5_F1_Neuron2
31,1.0,20160919_1013_BGUG_HuC_ltRFP_d5_F2_Neuron1
32,1.0,20160920_1013_BGUG_HuC_ltRFP_d6_F2
33,1.0,20160920_1013_BGUG_HuC_ltRFP_d6_F4
34,1.0,20160920_1013_BGUG_HuC_ltRFP_d6_F5
35,1.0,20160920_1013_BGUG_HuC_ltRFP_d6_F7
36,0.0,20160920_1013_BGUG_HuC_ltRFP_d6_F8
37,1.0,20160920_1013_BGUG_HuC_ltRFP_d6_F11
38,0.0,20160921_1013_BGUG_HuC_ltRFP_d5_F4
39,1.0,20160921_1013_BGUG_HuC_ltRFP_d7_F1
40,1.0,20160921_1013_BGUG_HuC_ltRFP_d7_F2
41,2.0,20160921_1013_BGUG_HuC_ltRFP_d7_F3
42,1.0,20160921_1013_BGUG_HuC_ltRFP_d7_F5
43,0.0,20160922_1013_BGUG_HuC_ltRFP_d6_F3
44,1.0,20160922_1013_BGUG_HuC_ltRFP_d6_F4
45,1.0,20160922_1013_BGUG_HuC_ltRFP_d6_F6
46,1.0,20160923_1013_BGUG_HuC_ltRFP_d7_F2
47,1.0,20160923_1013_BGUG_HuC_ltRFP_d7_F4
48,1.0,20160923_1013_BGUG_HuC_ltRFP_d7_F8
49,1.0,20160927_1013_BGUG_HuC_ltRFP_d6_F2_Neuron2
50,1.0,20160927_1013_BGUG_HuC_ltRFP_d6_F2_Neuron3
51,1.0,20160927_1013_BGUG_HuC_ltRFP_d6_F7
52,1.0,20160927_1013_BGUG_HuC_ltRFP_d6_F9_Neuron2
53,1.0,20160927_1013_BGUG_HuC_ltRFP_d6_F10_Neuron2
54,1.0,20160928_1013_BGUG_HuC_ltRFP_d5_F1
55,1.0,20160928_1013_BGUG_HuC_ltRFP_d5_F2
56,1.0,20160928_1013_BGUG_HuC_ltRFP_d5_F3_Neuron1
57,1.0,20160928_1013_BGUG_HuC_ltRFP_d5_F3_Neuron2
58,1.0,20160928_1013_BGUG_HuC_ltRFP_d7_F2_Neuron3
59,1.0,20160928_1013_BGUG_HuC_ltRFP_d7_F3
60,1.0,20160928_1013_BGUG_HuC_ltRFP_d7_F4
61,1.0,20160929_1013_BGUG_HuC_ltRFP_d6_F3
62,1.0,20161004_1013_BGUG_HuC_ltRFP_d5_F1_Neuron2
63,1.0,20161005_1013_BGUG_HuC_ltRFP_d6_F5_Neuron3
64,1.0,20161005_1013_BGUG_HuC_ltRFP_d6_F11_Neuron2
65,1.0,20161006_1013_BGUG_HuC_ltRFP_d6_F2
66,1.0,20161011_1013_BGUG_HuC_ltRFP_d5_F2_Neuron1
67,1.0,20161011_1013_BGUG_HuC_ltRFP_d5_F3
68,1.0,20161011_1013_BGUG_HuC_ltRFP_d5_F4
69,0.0,20161011_1013_BGUG_HuC_ltRFP_d5_F6_Neuron2
70,1.0,20161011_1013_BGUG_HuC_ltRFP_d5_F8
71,0.0,20161014_1013_BGUG_HuC_ltRFP_d7_F1_Neuron2
72,1.0,20161014_1013_BGUG_HuC_ltRFP_d7_F4
73,1.0,20161123_1013_BGUG_HuC_ltRFP_d5_F3
74,1.0,20161123_1013_BGUG_HuC_ltRFP_d5_F5
75,1.0,20161123_1013_BGUG_HuC_ltRFP_d5_F6
76,1.0,20161123_1013_BGUG_HuC_ltRFP_d5_F7
77,2.0,20161125_1013_BGUG_HuC_ltRFP_d7_F1_Neuron3
78,1.0,20161125_1013_BGUG_HuC_ltRFP_d7_F2_Neuron2
79,1.0,20161125_1013_BGUG_HuC_ltRFP_d7_F5
80,1.0,20161205_1013_BGUG_HuC_ltRFP_d5_F4
81,2.0,20161205_1013_BGUG_HuC_ltRFP_d5_F6
82,1.0,20161205_1013_BGUG_HuC_ltRFP_d5_F7
83,1.0,20161206_1013_BGUG_HuC_ltRFP_d6_F1_Neuron2
84,1.0,20161206_1013_BGUG_HuC_ltRFP_d6_F3
85,1.0,20161206_1013_BGUG_HuC_ltRFP_d6_F4
86,1.0,20161212_1013_BGUG_HuC_ltRFP_d5_F1_Neuron1
87,1.0,20161212_1013_BGUG_HuC_ltRFP_d5_F2
88,1.0,20161212_1013_BGUG_HuC_ltRFP_d5_F6_Neuron2
89,1.0,20161213_1013_BGUG_HuC_ltRFP_d6_F2_Neuron1
90,1.0,20161213_1013_BGUG_HuC_ltRFP_d6_F2_Neuron2
91,0.0,20161219_1013_BGUG_HuC_ltRFP_d5_F6_Neuron2
92,2.0,20161220_1013_BGUG_HuC_ltRFP_d6_F1
93,1.0,20161220_1013_BGUG_HuC_ltRFP_d6_F2
94,1.0,20170111_1013_BGUG_HuC_ltRFP_d5_F1
95,0.0,20170113_1013_BGUG_HuC_ltRFP_d7_F3_Neuron1
96,1.0,20170117_1013_BGUG_HuC_ltRFP_d5_F3_Neuron2
97,2.0,20170117_1013_BGUG_HuC_ltRFP_d5_F4
98,1.0,20170117_1013_BGUG_HuC_ltRFP_d5_F5
99,1.0,20170117_1013_BGUG_HuC_ltRFP_d5_F6
100,1.0,20170118_1013_BGUG_HuC_ltRFP_d6_F3_Neuron2
101,1.0,20170201_1013_BGUG_HuC_ltRFP_d7_F1_Neuron1
102,1.0,20170220_1013_BGUG_HuC_ltRFP_d5_F1
103,1.0,20170220_1013_BGUG_HuC_ltRFP_d5_F4
104,1.0,20170224_1013_BGUG_HuC_ltRFP_d7_F1
105,1.0,20170224_1013_BGUG_HuC_ltRFP_d7_F8
106,1.0,20170228_1013_BGUG_HuC_ltRFP_d5_F1
107,1.0,20170228_1013_BGUG_HuC_ltRFP_d5_F3
