Node,Community,Name
0,5.0,20150327_1013_BGUG_HuC_ltRFP_d5_F2
1,3.0,20150402_1013_BGUG_HuC_ltRFP_d5_F3
2,3.0,20160512_1013_BGUG_HuC_ltRFP_d6_F6_Neuron2
3,5.0,20160519_1013_BGUG_HuC_ltRFP_d6_F1
4,3.0,20160519_1013_BGUG_HuC_ltRFP_d6_F6
5,5.0,20160526_1013_BGUG_HuC_ltRFP_d6_F2_Neuron1
6,5.0,20160526_1013_BGUG_HuC_ltRFP_d6_F2_Neuron2
7,3.0,20160526_1013_BGUG_HuC_ltRFP_d6_F4
8,0.0,20160601_1013_BGUG_HuC_ltRFP_d6_F1
9,3.0,20160616_1013_BGUG_HuC_ltRFP_d7_F1
10,3.0,20160623_1013_BGUG_HuC_ltRFP_d6_F4
11,5.0,20160720_1013_BGUG_HuC_ltRFP_d6_F3
12,0.0,20160720_1013_BGUG_HuC_ltRFP_d6_F4
13,3.0,20160720_1013_BGUG_HuC_ltRFP_d6_F8_Neuron1
14,5.0,20160726_1013_BGUG_HuC_ltRFP_d6_F1
15,3.0,20160726_1013_BGUG_HuC_ltRFP_d6_F2
16,5.0,20160726_1013_BGUG_HuC_ltRFP_d6_F3
17,5.0,20160906_1013_BGUG_HuC_ltRFP_d5_F1
18,5.0,20160906_1013_BGUG_HuC_ltRFP_d5_F2
19,3.0,20160906_1013_BGUG_HuC_ltRFP_d5_F7
20,3.0,20160907_1013_BGUG_HuC_ltRFP_d6_F2_Neuron2
21,3.0,20160907_1013_BGUG_HuC_ltRFP_d6_F10_Neuron2
22,5.0,20160908_1013_BGUG_HuC_ltRFP_d7_F2
23,3.0,20160908_1013_BGUG_HuC_ltRFP_d7_F5
24,5.0,20160912_1013_BGUG_HuC_ltRFP_d6_F3
25,3.0,20160912_1013_BGUG_HuC_ltRFP_d6_F7_Neuron1
26,3.0,20160914_1013_BGUG_HuC_ltRFP_d5_F1
27,3.0,20160916_1013_BGUG_HuC_ltRFP_d7_F5
28,3.0,20160916_1013_BGUG_HuC_ltRFP_d7_F6
29,3.0,20160916_1013_BGUG_HuC_ltRFP_d7_F9
30,3.0,20160919_1013_BGUG_HuC_ltRFP_d5_F1_Neuron2
31,3.0,20160919_1013_BGUG_HuC_ltRFP_d5_F2_Neuron1
32,5.0,20160920_1013_BGUG_HuC_ltRFP_d6_F2
33,5.0,20160920_1013_BGUG_HuC_ltRFP_d6_F4
34,5.0,20160920_1013_BGUG_HuC_ltRFP_d6_F5
35,5.0,20160920_1013_BGUG_HuC_ltRFP_d6_F7
36,4.0,20160920_1013_BGUG_HuC_ltRFP_d6_F8
37,3.0,20160920_1013_BGUG_HuC_ltRFP_d6_F11
38,0.0,20160921_1013_BGUG_HuC_ltRFP_d5_F4
39,3.0,20160921_1013_BGUG_HuC_ltRFP_d7_F1
40,5.0,20160921_1013_BGUG_HuC_ltRFP_d7_F2
41,1.0,20160921_1013_BGUG_HuC_ltRFP_d7_F3
42,3.0,20160921_1013_BGUG_HuC_ltRFP_d7_F5
43,0.0,20160922_1013_BGUG_HuC_ltRFP_d6_F3
44,3.0,20160922_1013_BGUG_HuC_ltRFP_d6_F4
45,5.0,20160922_1013_BGUG_HuC_ltRFP_d6_F6
46,3.0,20160923_1013_BGUG_HuC_ltRFP_d7_F2
47,5.0,20160923_1013_BGUG_HuC_ltRFP_d7_F4
48,5.0,20160923_1013_BGUG_HuC_ltRFP_d7_F8
49,5.0,20160927_1013_BGUG_HuC_ltRFP_d6_F2_Neuron2
50,5.0,20160927_1013_BGUG_HuC_ltRFP_d6_F2_Neuron3
51,5.0,20160927_1013_BGUG_HuC_ltRFP_d6_F7
52,3.0,20160927_1013_BGUG_HuC_ltRFP_d6_F9_Neuron2
53,5.0,20160927_1013_BGUG_HuC_ltRFP_d6_F10_Neuron2
54,3.0,20160928_1013_BGUG_HuC_ltRFP_d5_F1
55,5.0,20160928_1013_BGUG_HuC_ltRFP_d5_F2
56,5.0,20160928_1013_BGUG_HuC_ltRFP_d5_F3_Neuron1
57,3.0,20160928_1013_BGUG_HuC_ltRFP_d5_F3_Neuron2
58,5.0,20160928_1013_BGUG_HuC_ltRFP_d7_F2_Neuron3
59,3.0,20160928_1013_BGUG_HuC_ltRFP_d7_F3
60,3.0,20160928_1013_BGUG_HuC_ltRFP_d7_F4
61,3.0,20160929_1013_BGUG_HuC_ltRFP_d6_F3
62,3.0,20161004_1013_BGUG_HuC_ltRFP_d5_F1_Neuron2
63,5.0,20161005_1013_BGUG_HuC_ltRFP_d6_F5_Neuron3
64,3.0,20161005_1013_BGUG_HuC_ltRFP_d6_F11_Neuron2
65,5.0,20161006_1013_BGUG_HuC_ltRFP_d6_F2
66,5.0,20161011_1013_BGUG_HuC_ltRFP_d5_F2_Neuron1
67,5.0,20161011_1013_BGUG_HuC_ltRFP_d5_F3
68,3.0,20161011_1013_BGUG_HuC_ltRFP_d5_F4
69,5.0,20161011_1013_BGUG_HuC_ltRFP_d5_F6_Neuron2
70,5.0,20161011_1013_BGUG_HuC_ltRFP_d5_F8
71,0.0,20161014_1013_BGUG_HuC_ltRFP_d7_F1_Neuron2
72,3.0,20161014_1013_BGUG_HuC_ltRFP_d7_F4
73,3.0,20161123_1013_BGUG_HuC_ltRFP_d5_F3
74,3.0,20161123_1013_BGUG_HuC_ltRFP_d5_F5
75,5.0,20161123_1013_BGUG_HuC_ltRFP_d5_F6
76,3.0,20161123_1013_BGUG_HuC_ltRFP_d5_F7
77,1.0,20161125_1013_BGUG_HuC_ltRFP_d7_F1_Neuron3
78,5.0,20161125_1013_BGUG_HuC_ltRFP_d7_F2_Neuron2
79,3.0,20161125_1013_BGUG_HuC_ltRFP_d7_F5
80,3.0,20161205_1013_BGUG_HuC_ltRFP_d5_F4
81,5.0,20161205_1013_BGUG_HuC_ltRFP_d5_F6
82,5.0,20161205_1013_BGUG_HuC_ltRFP_d5_F7
83,3.0,20161206_1013_BGUG_HuC_ltRFP_d6_F1_Neuron2
84,5.0,20161206_1013_BGUG_HuC_ltRFP_d6_F3
85,3.0,20161206_1013_BGUG_HuC_ltRFP_d6_F4
86,3.0,20161212_1013_BGUG_HuC_ltRFP_d5_F1_Neuron1
87,5.0,20161212_1013_BGUG_HuC_ltRFP_d5_F2
88,3.0,20161212_1013_BGUG_HuC_ltRFP_d5_F6_Neuron2
89,3.0,20161213_1013_BGUG_HuC_ltRFP_d6_F2_Neuron1
90,3.0,20161213_1013_BGUG_HuC_ltRFP_d6_F2_Neuron2
91,5.0,20161219_1013_BGUG_HuC_ltRFP_d5_F6_Neuron2
92,1.0,20161220_1013_BGUG_HuC_ltRFP_d6_F1
93,5.0,20161220_1013_BGUG_HuC_ltRFP_d6_F2
94,3.0,20170111_1013_BGUG_HuC_ltRFP_d5_F1
95,0.0,20170113_1013_BGUG_HuC_ltRFP_d7_F3_Neuron1
96,3.0,20170117_1013_BGUG_HuC_ltRFP_d5_F3_Neuron2
97,3.0,20170117_1013_BGUG_HuC_ltRFP_d5_F4
98,5.0,20170117_1013_BGUG_HuC_ltRFP_d5_F5
99,5.0,20170117_1013_BGUG_HuC_ltRFP_d5_F6
100,5.0,20170118_1013_BGUG_HuC_ltRFP_d6_F3_Neuron2
101,3.0,20170201_1013_BGUG_HuC_ltRFP_d7_F1_Neuron1
102,5.0,20170220_1013_BGUG_HuC_ltRFP_d5_F1
103,3.0,20170220_1013_BGUG_HuC_ltRFP_d5_F4
104,3.0,20170224_1013_BGUG_HuC_ltRFP_d7_F1
105,3.0,20170224_1013_BGUG_HuC_ltRFP_d7_F8
106,5.0,20170228_1013_BGUG_HuC_ltRFP_d5_F1
107,5.0,20170228_1013_BGUG_HuC_ltRFP_d5_F3
108,3.0,20170228_1013_BGUG_HuC_ltRFP_d5_F4
109,0.0,20170228_1013_BGUG_HuC_ltRFP_d5_F6
110,3.0,20170303_1013_BGUG_HuC_ltRFP_d7_F2_Neuron2
111,5.0,20170303_1013_BGUG_HuC_ltRFP_d7_F2_Neuron4
112,3.0,20170310_1013_BGUG_HuC_ltRFP_d7_F8
113,5.0,20170313_1013_BGUG_HuC_ltRFP_d5_F1_Neuron1
114,3.0,20170313_1013_BGUG_HuC_ltRFP_d5_F1_Neuron2
115,5.0,20170313_1013_BGUG_HuC_ltRFP_d5_F8
116,3.0,20170329_1013_BGUG_HuC_ltRFP_d6_F2
117,5.0,20170329_1013_BGUG_HuC_ltRFP_d6_F4
118,3.0,20170329_1013_BGUG_HuC_ltRFP_d6_F5
119,5.0,20170329_1013_BGUG_HuC_ltRFP_d6_F7_Neuron2
120,0.0,20170406_1013_BGUG_HuC_ltRFP_d6_F2_Neuron1
121,3.0,20170406_1013_BGUG_HuC_ltRFP_d6_F8
122,3.0,20170406_1013_BGUG_HuC_ltRFP_d6_F9
123,3.0,20170506_1013_BGUG_HuC_ltRFP_d5_F1
124,3.0,20170506_1013_BGUG_HuC_ltRFP_d5_F3_Neuron2
125,5.0,20170506_1013_BGUG_HuC_ltRFP_d5_F5
126,5.0,20170506_1013_BGUG_HuC_ltRFP_d5_F6
127,3.0,20170513_1013_BGUG_HuC_ltRFP_d7_F4
128,5.0,20170513_1013_BGUG_HuC_ltRFP_d7_F7
129,3.0,20170608_1013_BGUG_HuC_ltRFP_d6_F1
130,0.0,20170609_1013_BGUG_HuC_ltRFP_d7_F3_Neuron1
131,3.0,20170609_1013_BGUG_HuC_ltRFP_d7_F3_Neuron2
132,3.0,20170609_1013_BGUG_HuC_ltRFP_d7_F4
133,1.0,20170617_1013_BGUG_HuC_ltRFP_d7_F3_Neuron2
134,3.0,20170617_1013_BGUG_HuC_ltRFP_d7_F4
135,3.0,20170708_1013_BGUG_HuC_ltRFP_d7_F2
136,5.0,20170708_1013_BGUG_HuC_ltRFP_d7_F6_Neuron1
137,3.0,20170715_1013_BGUG_HuC_ltRFP_d7_F1_Neuron2
138,0.0,20170715_1013_BGUG_HuC_ltRFP_d7_F2
139,5.0,20170715_1013_BGUG_HuC_ltRFP_d7_F3
140,0.0,20170715_1013_BGUG_HuC_ltRFP_d7_F5
141,3.0,20170722_1013_BGUG_HuC_ltRFP_d7_F3
142,5.0,20170722_1013_BGUG_HuC_ltRFP_d7_F5
143,3.0,20170805_1013_BGUG_HuC_ltRFP_d7_F3
144,3.0,20170805_1013_BGUG_HuC_ltRFP_d7_F4
145,3.0,20170805_1013_BGUG_HuC_ltRFP_d7_F5_Neuron1
146,3.0,20170809_1013_BGUG_HuC_ltRFP_d5_F3
147,0.0,20170818_1013_BGUG_HuC_ltRFP_d6_F1_Neuron1
148,5.0,20170818_1013_BGUG_HuC_ltRFP_d6_F3
149,3.0,20170819_1013_BGUG_HuC_ltRFP_d7_F6
150,1.0,20170901_1013_BGUG_HuC_ltRFP_d6_F1_Neuron2
151,3.0,20170901_1013_BGUG_HuC_ltRFP_d6_F4
152,5.0,20170901_1013_BGUG_HuC_ltRFP_d6_F5_Neuron1
153,0.0,20170923_1013_BGUG_HuC_ltRFP_d7_F3
154,6.0,FT_T_dG_1
155,6.0,FT_T_dG_2
156,6.0,FT_T_dG_3
157,6.0,FT_T_dG_4
158,6.0,FT_T_dG_5
159,6.0,FT_T_dG_6
160,6.0,FT_T_dG_7
161,6.0,FT_T_lG_1
162,6.0,FT_T_lG_2
163,6.0,FT_T_lG_3
164,6.0,FT_T_lG_4
165,6.0,FT_T_lG_5
166,6.0,FT_T_lG_6
167,6.0,FT_T_lG_7
168,6.0,FT_T_maG_1
